Tokens,Cat1
0,0.000000
5,0.000002
5,0.000001
7,0.000002
7,0.000004
9,0.000002
9,0.000002
11,0.000003
11,0.000002
13,0.000004
13,0.000003
15,0.000005
15,0.000004
17,0.000004
17,0.000004
19,0.000005
19,0.000006
21,0.000006
21,0.000006
23,0.000006
23,0.000006
25,0.000006
25,0.000007
27,0.000007
27,0.000008
29,0.000007
29,0.000007
31,0.000012
31,0.000007
33,0.000010
33,0.000007
35,0.000009
35,0.000008
37,0.000009
37,0.000010
39,0.000009
39,0.000012
41,0.000011
41,0.000012
43,0.000012
43,0.000012
45,0.000012
45,0.000011
47,0.000011
47,0.000012
49,0.000013
49,0.000013
51,0.000015
51,0.000012
53,0.000014
53,0.000013
55,0.000016
55,0.000015
57,0.000015
57,0.000014
59,0.000014
59,0.000017
61,0.000015
61,0.000015
63,0.000016
63,0.000019
65,0.000018
65,0.000017
67,0.000017
67,0.000018
69,0.000018
69,0.000022
71,0.000020
71,0.000018
73,0.000019
73,0.000020
75,0.000020
75,0.000019
77,0.000020
77,0.000021
79,0.000020
79,0.000020
81,0.000021
81,0.000021
83,0.000025
83,0.000024
85,0.000024
85,0.000022
87,0.000027
87,0.000023
89,0.000023
89,0.000030
91,0.000023
91,0.000023
93,0.000024
93,0.000025
95,0.000025
95,0.000025
97,0.000031
97,0.000025
99,0.000030
